Grand Prix,base_laptime
Australian Grand Prix,0 days 00:01:19.318000
Chinese Grand Prix,0 days 00:01:37.738000
Japanese Grand Prix,0 days 00:01:33.322000
Bahrain Grand Prix,0 days 00:01:32.608000
Saudi Arabian Grand Prix,0 days 00:01:31.116000
Miami Grand Prix,0 days 00:01:30.075000
Emilia Romagna Grand Prix,0 days 00:01:18.378000
Monaco Grand Prix,0 days 00:01:13.885000
Spanish Grand Prix,0 days 00:01:17.005000
Canadian Grand Prix,0 days 00:01:14.622000
Austrian Grand Prix,0 days 00:01:07.322000
British Grand Prix,0 days 00:01:28.120000
Belgian Grand Prix,0 days 00:01:44.087000
Hungarian Grand Prix,0 days 00:01:19.971000
Dutch Grand Prix,0 days 00:01:12.998000
Italian Grand Prix,0 days 00:01:21.120000
Azerbaijan Grand Prix,0 days 00:01:44.760000
Singapore Grand Prix,0 days 00:01:34.486000
United States Grand Prix,0 days 00:01:36.888000
Mexico City Grand Prix,0 days 00:01:18.336000
São Paulo Grand Prix,0 days 00:01:20.472000
Las Vegas Grand Prix,0 days 00:01:34.037000
Qatar Grand Prix,0 days 00:01:22.134000
Abu Dhabi Grand Prix,0 days 00:01:25.637000
